--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE584      8      0.3750     0.5000     -0.8630    2.6250    3.8568    
SITE587      8      0.3750     0.5000     -1.0864    3.3750    4.6771    
SITE593      11     0.3636     0.7273     -0.3488    2.0000    2.8604    
SITE595      18     0.2778     0.4444     -0.5997    2.6667    3.4480    
SITE597      8      0.2500     0.5000     -0.0023    2.1250    2.6220    
SITE598      7      0.2857     0.5714     -1.0417    2.1429    3.0000    
SITE601      8      0.2500     0.2500     -2.5556    5.7500    6.7823    
SITE602      12     0.3333     0.7500     -0.2253    2.0833    3.3040    
SITE606      15     0.2667     0.6000     -0.9105    3.0667    4.4422    
SITE607      12     0.1667     0.2500     -2.8470    5.0833    5.9090    
SITE610      10     0.2000     0.3000     -2.0076    4.3000    5.2631    
SITE612      14     0.2857     0.3571     -1.4694    3.2857    4.2594    
SITE616      13     0.2308     0.5385     -1.2393    3.3077    4.4463    
SITE617      10     0.2000     0.6000     -0.1064    2.4000    3.2249    
SITE620      17     0.2941     0.5294     -0.9558    2.8824    4.1231    
SITE622      13     0.2308     0.6154     -0.0211    2.0769    2.6747    
SITE623      8      0.2500     0.8750     -0.6667    1.2500    1.5811    
SITE624      9      0.2222     0.7778     -0.1099    1.8889    2.4721    
SITE626      10     0.3000     0.7000     -0.4479    2.7000    4.1352    
SITE629      13     0.2308     0.6154     -0.1182    2.3846    3.0760    
SITE639      11     0.1818     0.2727     -2.4202    4.3636    5.1874    
SITE648      7      0.2857     0.4286     -1.3832    4.1429    5.4380    
SITE658      16     0.1875     0.5625     -0.1270    2.3750    2.9791    
SITE683      7      0.4286     0.7143     -1.1000    1.5714    2.1712    
SITE684      14     0.1429     0.2143     -3.4658    5.2857    6.0000    
SITE692      15     0.2000     0.3333     -1.1951    3.2000    3.7947    
SITE719      16     0.2500     0.6875     -0.1163    2.1875    2.9047    
SITE721      12     0.1667     0.5833     -0.0031    2.5000    3.0000    
SITE722      14     0.2857     0.7143     -0.0360    1.7143    2.2991    
SITE725      9      0.2222     0.4444     -1.6351    3.6667    4.6547    
SITE734      13     0.3077     0.6923     -0.3112    2.0769    3.0000    
SITE735      17     0.1765     0.4706     -0.7399    2.9412    3.7885    
SITE739      10     0.2000     0.5000     -0.0013    2.3000    2.8107    
SITE747      30     0.2000     0.6000     -0.4509    2.3000    3.0496    
SITE760      33     0.8788     0.9091     -0.0358    0.4545    1.4668    
SITE786      10     0.2000     0.7000     -0.4894    2.7000    4.0125    
SITE801      8      0.2500     0.7500     -0.1852    2.0000    3.1623    
SITE802      9      0.3333     0.6667     -0.8138    2.5556    3.8152    
SITE807      7      0.2857     0.5714     -1.3894    2.4286    3.1848    
SITE808      7      0.2857     0.4286     -1.6057    3.8571    4.9135    
SITE821      10     0.3000     0.3000     -1.6372    3.9000    4.9497    
SITE831      11     0.1818     0.2727     -2.0992    4.1818    5.0812    
SITE844      7      0.4286     0.7143     -0.0281    1.5714    2.5912    
SITE852      14     0.2143     0.5714     -0.2648    2.2857    2.8785    
SITE871      7      0.2857     0.4286     -1.2472    3.7143    4.9857    
--------------------------------------------------------------------------------------------------------------
OVERALL      3232   0.2809     0.5566     -0.5753    2.5931    3.5855    
--------------------------------------------------------------------------------------------------------------
