--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE683      7      0.4286     0.7143     -1.1000    1.5714    2.1712    
SITE684      14     0.1429     0.6429     -0.3646    2.4286    3.3166    
SITE692      15     0.3333     0.4667     -0.6667    2.5333    3.3066    
SITE719      16     0.2500     0.6875     -0.1163    2.1875    2.9047    
SITE721      12     0.1667     0.5833     -0.0031    2.5000    3.0000    
SITE722      14     0.2857     0.6429     -0.3720    2.0000    2.6458    
SITE725      9      0.3333     0.6667     -0.2838    2.1111    3.2489    
SITE734      13     0.3077     0.6923     0.0586     1.8462    2.5420    
SITE735      17     0.1176     0.4118     -1.0822    3.4118    4.1445    
SITE739      10     0.2000     0.5000     -0.0013    2.3000    2.8107    
SITE747      30     0.1667     0.6333     -0.3209    2.2667    2.9098    
SITE760      33     0.8788     0.9091     -0.0358    0.4545    1.4668    
SITE786      10     0.2000     0.2000     -3.0056    5.7000    6.5803    
SITE801      8      0.3750     0.5000     0.1111     2.0000    2.7386    
SITE802      9      0.3333     0.6667     -0.8138    2.5556    3.8152    
SITE807      7      0.5714     0.8571     0.2933     1.0000    1.7321    
SITE808      7      0.1429     0.5714     -0.3722    3.0000    3.5657    
SITE821      10     0.1000     0.3000     -0.1733    2.9000    3.3015    
SITE831      11     0.1818     0.2727     -2.0992    4.1818    5.0812    
SITE844      7      0.4286     0.7143     -0.0281    1.5714    2.5912    
SITE852      14     0.1429     0.5714     -0.5265    2.5714    3.1623    
SITE871      7      0.2857     0.4286     -1.2472    3.7143    4.9857    
--------------------------------------------------------------------------------------------------------------
OVERALL      3232   0.2887     0.5718     -0.5747    2.5659    3.5847    
--------------------------------------------------------------------------------------------------------------
