--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE574      6      0.5000     1.0000     0.8662     0.6667    1.0000    
SITE575      14     0.2857     0.7857     0.0298     1.7857    2.3755    
SITE577      6      0.3333     0.6667     -1.2985    2.5000    3.5824    
SITE578      7      0.8571     1.0000     0.9470     0.1429    0.3780    
SITE581      9      0.7778     1.0000     0.9078     0.3333    0.7454    
SITE584      7      0.7143     1.0000     0.7131     0.4286    0.8452    
SITE587      8      0.6250     0.7500     0.2608     1.5000    2.7839    
SITE593      10     0.5000     0.9000     -0.0403    1.4000    2.4900    
SITE595      16     0.4375     0.6875     0.3578     1.4375    2.0767    
SITE597      7      0.5714     0.8571     0.5882     0.8571    1.6036    
SITE598      7      0.4286     0.8571     0.6111     0.8571    1.3093    
SITE601      8      0.7500     0.7500     0.5652     1.1250    2.3717    
SITE602      10     0.3000     0.8000     -0.1389    1.8000    2.8636    
SITE606      13     0.4615     0.9231     0.7258     1.0000    1.6871    
SITE607      9      0.4444     0.4444     -0.3152    2.4444    3.3665    
SITE610      8      0.6250     0.8750     0.7494     0.7500    1.3229    
SITE612      13     0.4615     0.6154     -0.5784    2.1538    3.3282    
SITE616      11     0.7273     0.9091     0.8536     0.5455    1.1282    
SITE617      10     0.7000     0.9000     0.7766     0.7000    1.4491    
SITE620      15     0.6000     0.8667     0.7553     0.9333    1.5055    
SITE622      10     0.5000     0.7000     0.3868     1.3000    1.9748    
SITE623      8      0.2500     1.0000     0.5000     0.7500    0.8660    
SITE624      7      0.2857     0.7143     -0.0818    1.7143    2.2039    
SITE626      7      0.5714     1.0000     0.9495     0.4286    0.6547    
SITE629      10     0.6000     0.8000     0.5194     1.0000    1.8974    
SITE639      10     0.5000     0.8000     0.6144     1.1000    1.7607    
SITE658      12     0.3333     0.9167     0.7588     1.0833    1.4434    
SITE683      7      0.7143     1.0000     0.6818     0.4286    0.8452    
SITE684      13     0.3846     0.6154     -0.2581    2.1538    3.1865    
SITE692      13     0.3846     0.6923     0.1435     1.6154    2.3697    
SITE719      14     0.5000     0.8571     0.1504     1.3571    2.2200    
SITE721      10     0.4000     0.8000     0.3045     1.8000    2.5690    
SITE722      13     0.4615     0.6923     0.0032     1.4615    2.3370    
SITE725      7      0.2857     0.7143     -0.6557    2.1429    3.3594    
SITE734      10     0.5000     0.7000     -0.1293    1.6000    2.4900    
SITE735      13     0.6154     0.9231     0.7939     0.7692    1.3009    
SITE739      10     0.4000     0.9000     0.7845     0.9000    1.3038    
SITE747      27     0.4074     0.7778     0.3101     1.4444    2.1344    
SITE760      29     0.8621     0.8966     -0.0410    0.5172    1.5647    
SITE786      9      0.4444     0.8889     0.7315     1.0000    1.7951    
SITE801      7      0.2857     0.8571     0.7894     1.0000    1.3628    
SITE802      8      0.6250     0.8750     0.8052     0.7500    1.3229    
SITE821      9      0.5556     0.5556     -0.7440    2.6667    4.2426    
SITE831      9      0.3333     0.7778     0.5244     1.4444    2.0817    
SITE844      6      0.5000     0.8333     0.7582     0.8333    1.3540    
SITE852      13     0.3846     0.7692     0.4242     1.3846    2.0000    
--------------------------------------------------------------------------------------------------------------
OVERALL      2655   0.4527     0.7766     0.3759     1.3898    2.2437    
--------------------------------------------------------------------------------------------------------------
